wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
LT2005;0800;St.Peter;FPÖ;Freiheitliche Partei Österreichs;3;7012;83;6929;361;15
LT2005;0800;St.Peter;GRÜNE;Die Grünen - Die Grüne Alternative;4;7012;83;6929;1075;15
LT2005;0800;St.Peter;KPÖ;Kommunistische Partei Österreichs;5;7012;83;6929;777;15
LT2005;0800;St.Peter;LH;Liste Hirschmann;6;7012;83;6929;272;15
LT2005;0800;St.Peter;BZÖ;Bündnis Zukunft Österreich;7;7012;83;6929;122;15
LT2005;0800;St.Peter;;Parteifrei;8;7012;83;6929;105;15
LT2005;0900;Waltendorf;ÖVP;Österreichische Volkspartei;1;5992;58;5934;2306;13
LT2005;0900;Waltendorf;SPÖ;Sozialdemokratische Partei Österreichs;2;5992;58;5934;1419;13
LT2005;0900;Waltendorf;FPÖ;Freiheitliche Partei Österreichs;3;5992;58;5934;327;13
LT2005;0900;Waltendorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;5992;58;5934;804;13
LT2005;0900;Waltendorf;KPÖ;Kommunistische Partei Österreichs;5;5992;58;5934;651;13
LT2005;0900;Waltendorf;LH;Liste Hirschmann;6;5992;58;5934;227;13
LT2005;0900;Waltendorf;BZÖ;Bündnis Zukunft Österreich;7;5992;58;5934;127;13
LT2005;0900;Waltendorf;;Parteifrei;8;5992;58;5934;73;13
LT2005;1000;Ries;ÖVP;Österreichische Volkspartei;1;2945;35;2910;1125;7
LT2005;1000;Ries;SPÖ;Sozialdemokratische Partei Österreichs;2;2945;35;2910;739;7
LT2005;1000;Ries;FPÖ;Freiheitliche Partei Österreichs;3;2945;35;2910;173;7
LT2005;1000;Ries;GRÜNE;Die Grünen - Die Grüne Alternative;4;2945;35;2910;364;7
LT2005;1000;Ries;KPÖ;Kommunistische Partei Österreichs;5;2945;35;2910;309;7
LT2005;1000;Ries;LH;Liste Hirschmann;6;2945;35;2910;89;7
LT2005;1000;Ries;BZÖ;Bündnis Zukunft Österreich;7;2945;35;2910;77;7
LT2005;1000;Ries;;Parteifrei;8;2945;35;2910;34;7
LT2005;1100;Mariatrost;ÖVP;Österreichische Volkspartei;1;4245;45;4200;1820;9
LT2005;1100;Mariatrost;SPÖ;Sozialdemokratische Partei Österreichs;2;4245;45;4200;814;9
LT2005;1100;Mariatrost;FPÖ;Freiheitliche Partei Österreichs;3;4245;45;4200;222;9
LT2005;1100;Mariatrost;GRÜNE;Die Grünen - Die Grüne Alternative;4;4245;45;4200;602;9
LT2005;1100;Mariatrost;KPÖ;Kommunistische Partei Österreichs;5;4245;45;4200;485;9
LT2005;1100;Mariatrost;LH;Liste Hirschmann;6;4245;45;4200;145;9
LT2005;1100;Mariatrost;BZÖ;Bündnis Zukunft Österreich;7;4245;45;4200;75;9
LT2005;1100;Mariatrost;;Parteifrei;8;4245;45;4200;37;9
LT2005;1200;Andritz;ÖVP;Österreichische Volkspartei;1;9209;98;9111;3013;19
LT2005;1200;Andritz;SPÖ;Sozialdemokratische Partei Österreichs;2;9209;98;9111;3002;19
LT2005;1200;Andritz;FPÖ;Freiheitliche Partei Österreichs;3;9209;98;9111;512;19
LT2005;1200;Andritz;GRÜNE;Die Grünen - Die Grüne Alternative;4;9209;98;9111;1055;19
LT2005;1200;Andritz;KPÖ;Kommunistische Partei Österreichs;5;9209;98;9111;1038;19
LT2005;1200;Andritz;LH;Liste Hirschmann;6;9209;98;9111;255;19
LT2005;1200;Andritz;BZÖ;Bündnis Zukunft Österreich;7;9209;98;9111;136;19
LT2005;1200;Andritz;;Parteifrei;8;9209;98;9111;100;19
LT2005;1300;Gösting;ÖVP;Österreichische Volkspartei;1;4537;35;4502;1275;12
LT2005;1300;Gösting;SPÖ;Sozialdemokratische Partei Österreichs;2;4537;35;4502;1711;12
LT2005;1300;Gösting;FPÖ;Freiheitliche Partei Österreichs;3;4537;35;4502;262;12
LT2005;1300;Gösting;GRÜNE;Die Grünen - Die Grüne Alternative;4;4537;35;4502;319;12
LT2005;1300;Gösting;KPÖ;Kommunistische Partei Österreichs;5;4537;35;4502;683;12
LT2005;1300;Gösting;LH;Liste Hirschmann;6;4537;35;4502;100;12
LT2005;1300;Gösting;BZÖ;Bündnis Zukunft Österreich;7;4537;35;4502;109;12
LT2005;1300;Gösting;;Parteifrei;8;4537;35;4502;43;12
LT2005;1400;Eggenberg;ÖVP;Österreichische Volkspartei;1;7958;83;7875;2108;19
LT2005;1400;Eggenberg;SPÖ;Sozialdemokratische Partei Österreichs;2;7958;83;7875;3023;19
LT2005;1400;Eggenberg;FPÖ;Freiheitliche Partei Österreichs;3;7958;83;7875;436;19
LT2005;1400;Eggenberg;GRÜNE;Die Grünen - Die Grüne Alternative;4;7958;83;7875;682;19
LT2005;1400;Eggenberg;KPÖ;Kommunistische Partei Österreichs;5;7958;83;7875;1218;19
LT2005;1400;Eggenberg;LH;Liste Hirschmann;6;7958;83;7875;157;19
LT2005;1400;Eggenberg;BZÖ;Bündnis Zukunft Österreich;7;7958;83;7875;173;19
LT2005;1400;Eggenberg;;Parteifrei;8;7958;83;7875;78;19
LT2005;1500;Wetzelsdorf;ÖVP;Österreichische Volkspartei;1;6206;52;6154;1549;15
LT2005;1500;Wetzelsdorf;SPÖ;Sozialdemokratische Partei Österreichs;2;6206;52;6154;2569;15
LT2005;1500;Wetzelsdorf;FPÖ;Freiheitliche Partei Österreichs;3;6206;52;6154;355;15
LT2005;1500;Wetzelsdorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;6206;52;6154;403;15
LT2005;1500;Wetzelsdorf;KPÖ;Kommunistische Partei Österreichs;5;6206;52;6154;946;15
LT2005;1500;Wetzelsdorf;LH;Liste Hirschmann;6;6206;52;6154;129;15
LT2005;1500;Wetzelsdorf;BZÖ;Bündnis Zukunft Österreich;7;6206;52;6154;139;15
LT2005;1500;Wetzelsdorf;;Parteifrei;8;6206;52;6154;64;15
LT2005;1600;Straßgang;ÖVP;Österreichische Volkspartei;1;6374;66;6308;1833;14
LT2005;1600;Straßgang;SPÖ;Sozialdemokratische Partei Österreichs;2;6374;66;6308;2506;14
LT2005;1600;Straßgang;FPÖ;Freiheitliche Partei Österreichs;3;6374;66;6308;369;14
LT2005;1600;Straßgang;GRÜNE;Die Grünen - Die Grüne Alternative;4;6374;66;6308;402;14
LT2005;1600;Straßgang;KPÖ;Kommunistische Partei Österreichs;5;6374;66;6308;825;14
LT2005;1600;Straßgang;LH;Liste Hirschmann;6;6374;66;6308;174;14
LT2005;1600;Straßgang;BZÖ;Bündnis Zukunft Österreich;7;6374;66;6308;135;14
LT2005;1600;Straßgang;;Parteifrei;8;6374;66;6308;64;14
LT2005;1700;Puntigam;ÖVP;Österreichische Volkspartei;1;2931;53;2878;826;7
LT2005;1700;Puntigam;SPÖ;Sozialdemokratische Partei Österreichs;2;2931;53;2878;1153;7
LT2005;1700;Puntigam;FPÖ;Freiheitliche Partei Österreichs;3;2931;53;2878;157;7
LT2005;1700;Puntigam;GRÜNE;Die Grünen - Die Grüne Alternative;4;2931;53;2878;174;7
LT2005;1700;Puntigam;KPÖ;Kommunistische Partei Österreichs;5;2931;53;2878;379;7
LT2005;1700;Puntigam;LH;Liste Hirschmann;6;2931;53;2878;76;7
LT2005;1700;Puntigam;BZÖ;Bündnis Zukunft Österreich;7;2931;53;2878;74;7
LT2005;1700;Puntigam;;Parteifrei;8;2931;53;2878;39;7
LT2005;2800;Wahlkarten - Wahllokale;ÖVP;Österreichische Volkspartei;1;518;7;511;168;8
LT2005;2800;Wahlkarten - Wahllokale;SPÖ;Sozialdemokratische Partei Österreichs;2;518;7;511;149;8
LT2005;2800;Wahlkarten - Wahllokale;FPÖ;Freiheitliche Partei Österreichs;3;518;7;511;19;8
LT2005;2800;Wahlkarten - Wahllokale;GRÜNE;Die Grünen - Die Grüne Alternative;4;518;7;511;73;8
