wkurz;sprengel;wahlbe_gesamt;wahlbe_mann;wahlbe_frau
BRGRAZ12;0907;784;365;419
BRGRAZ12;0908;739;349;390
BRGRAZ12;0909;714;329;385
BRGRAZ12;0910;702;332;370
BRGRAZ12;0911;812;407;405
BRGRAZ12;0912;719;334;385
BRGRAZ12;0913;628;279;349
BRGRAZ12;0998;0;0;0
BRGRAZ12;0999;0;0;0
BRGRAZ12;1001;733;290;443
BRGRAZ12;1002;691;308;383
BRGRAZ12;1003;688;312;376
BRGRAZ12;1004;674;317;357
BRGRAZ12;1005;674;300;374
BRGRAZ12;1006;675;326;349
BRGRAZ12;1007;673;335;338
BRGRAZ12;1098;0;0;0
BRGRAZ12;1099;0;0;0
BRGRAZ12;1101;754;334;420
BRGRAZ12;1102;824;384;440
BRGRAZ12;1103;748;361;387
BRGRAZ12;1104;734;334;400
BRGRAZ12;1105;837;404;433
BRGRAZ12;1106;886;424;462
BRGRAZ12;1107;713;325;388
BRGRAZ12;1108;869;426;443
BRGRAZ12;1109;1075;517;558
BRGRAZ12;1198;0;0;0
BRGRAZ12;1199;0;0;0
BRGRAZ12;1201;751;352;399
BRGRAZ12;1202;712;338;374
BRGRAZ12;1203;828;372;456
BRGRAZ12;1204;1085;512;573
BRGRAZ12;1205;757;365;392
BRGRAZ12;1206;716;331;385
BRGRAZ12;1207;805;370;435
BRGRAZ12;1208;717;322;395
BRGRAZ12;1209;770;382;388
BRGRAZ12;1210;798;372;426
BRGRAZ12;1211;772;346;426
BRGRAZ12;1212;770;374;396
BRGRAZ12;1213;778;377;401
BRGRAZ12;1214;738;333;405
BRGRAZ12;1215;790;366;424
BRGRAZ12;1216;807;397;410
BRGRAZ12;1217;830;408;422
BRGRAZ12;1218;815;382;433
BRGRAZ12;1219;730;365;365
BRGRAZ12;1298;0;0;0
BRGRAZ12;1299;0;0;0
BRGRAZ12;1301;850;382;468
BRGRAZ12;1302;779;385;394
BRGRAZ12;1303;648;329;319
BRGRAZ12;1304;650;301;349
BRGRAZ12;1305;635;287;348
BRGRAZ12;1306;601;266;335
BRGRAZ12;1307;562;251;311
BRGRAZ12;1308;719;336;383
BRGRAZ12;1309;635;293;342
BRGRAZ12;1310;788;399;389
BRGRAZ12;1311;628;314;314
BRGRAZ12;1312;331;164;167
BRGRAZ12;1398;0;0;0
BRGRAZ12;1399;0;0;0
BRGRAZ12;1401;828;407;421
BRGRAZ12;1402;934;437;497
BRGRAZ12;1403;648;301;347
BRGRAZ12;1404;720;336;384
BRGRAZ12;1405;927;446;481
BRGRAZ12;1406;703;346;357
BRGRAZ12;1407;695;308;387
BRGRAZ12;1408;792;377;415
BRGRAZ12;1409;785;379;406
BRGRAZ12;1410;1027;432;595
BRGRAZ12;1411;795;359;436
BRGRAZ12;1412;680;316;364
BRGRAZ12;1413;776;351;425
BRGRAZ12;1414;705;304;401
BRGRAZ12;1415;737;339;398
