wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
GRGRAZ03;0700;Liebenau;KPÖ;Kommunistische Partei Österreichs;5;5566;59;5507;1056;21
GRGRAZ03;0700;Liebenau;GVP;Grazer Verkehrspartei;6;5566;59;5507;20;21
GRGRAZ03;0700;Liebenau;RWA;Reif für die Wirtschaft und Arbeit;7;5566;59;5507;5;21
GRGRAZ03;0700;Liebenau;LIF;Liberales Forum;8;5566;59;5507;10;21
GRGRAZ03;0800;St.Peter;ÖVP;Österreichische Volkspartei;1;6753;51;6702;2885;21
GRGRAZ03;0800;St.Peter;SPÖ;Sozialdemokratische Partei Österreichs;2;6753;51;6702;1205;21
GRGRAZ03;0800;St.Peter;FPÖ;Freiheitliche Partei Österreichs;3;6753;51;6702;466;21
GRGRAZ03;0800;St.Peter;GRÜNE;Die Grünen - Die Grüne Alternative;4;6753;51;6702;816;21
GRGRAZ03;0800;St.Peter;KPÖ;Kommunistische Partei Österreichs;5;6753;51;6702;1262;21
GRGRAZ03;0800;St.Peter;GVP;Grazer Verkehrspartei;6;6753;51;6702;19;21
GRGRAZ03;0800;St.Peter;RWA;Reif für die Wirtschaft und Arbeit;7;6753;51;6702;24;21
GRGRAZ03;0800;St.Peter;LIF;Liberales Forum;8;6753;51;6702;25;21
GRGRAZ03;0900;Waltendorf;ÖVP;Österreichische Volkspartei;1;5899;50;5849;2666;21
GRGRAZ03;0900;Waltendorf;SPÖ;Sozialdemokratische Partei Österreichs;2;5899;50;5849;949;21
GRGRAZ03;0900;Waltendorf;FPÖ;Freiheitliche Partei Österreichs;3;5899;50;5849;522;21
GRGRAZ03;0900;Waltendorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;5899;50;5849;585;21
GRGRAZ03;0900;Waltendorf;KPÖ;Kommunistische Partei Österreichs;5;5899;50;5849;1070;21
GRGRAZ03;0900;Waltendorf;GVP;Grazer Verkehrspartei;6;5899;50;5849;27;21
GRGRAZ03;0900;Waltendorf;RWA;Reif für die Wirtschaft und Arbeit;7;5899;50;5849;13;21
GRGRAZ03;0900;Waltendorf;LIF;Liberales Forum;8;5899;50;5849;17;21
GRGRAZ03;1000;Ries;ÖVP;Österreichische Volkspartei;1;2805;11;2794;1233;11
GRGRAZ03;1000;Ries;SPÖ;Sozialdemokratische Partei Österreichs;2;2805;11;2794;531;11
GRGRAZ03;1000;Ries;FPÖ;Freiheitliche Partei Österreichs;3;2805;11;2794;227;11
GRGRAZ03;1000;Ries;GRÜNE;Die Grünen - Die Grüne Alternative;4;2805;11;2794;310;11
GRGRAZ03;1000;Ries;KPÖ;Kommunistische Partei Österreichs;5;2805;11;2794;473;11
GRGRAZ03;1000;Ries;GVP;Grazer Verkehrspartei;6;2805;11;2794;9;11
GRGRAZ03;1000;Ries;RWA;Reif für die Wirtschaft und Arbeit;7;2805;11;2794;4;11
GRGRAZ03;1000;Ries;LIF;Liberales Forum;8;2805;11;2794;7;11
GRGRAZ03;1100;Mariatrost;ÖVP;Österreichische Volkspartei;1;4039;36;4003;2001;13
GRGRAZ03;1100;Mariatrost;SPÖ;Sozialdemokratische Partei Österreichs;2;4039;36;4003;498;13
GRGRAZ03;1100;Mariatrost;FPÖ;Freiheitliche Partei Österreichs;3;4039;36;4003;291;13
GRGRAZ03;1100;Mariatrost;GRÜNE;Die Grünen - Die Grüne Alternative;4;4039;36;4003;442;13
GRGRAZ03;1100;Mariatrost;KPÖ;Kommunistische Partei Österreichs;5;4039;36;4003;737;13
GRGRAZ03;1100;Mariatrost;GVP;Grazer Verkehrspartei;6;4039;36;4003;17;13
GRGRAZ03;1100;Mariatrost;RWA;Reif für die Wirtschaft und Arbeit;7;4039;36;4003;1;13
GRGRAZ03;1100;Mariatrost;LIF;Liberales Forum;8;4039;36;4003;16;13
GRGRAZ03;1200;Andritz;ÖVP;Österreichische Volkspartei;1;8629;64;8565;3433;30
GRGRAZ03;1200;Andritz;SPÖ;Sozialdemokratische Partei Österreichs;2;8629;64;8565;2038;30
GRGRAZ03;1200;Andritz;FPÖ;Freiheitliche Partei Österreichs;3;8629;64;8565;605;30
GRGRAZ03;1200;Andritz;GRÜNE;Die Grünen - Die Grüne Alternative;4;8629;64;8565;747;30
