wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
NR2008;0100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;1;1617;17;1600;248;4
NR2008;0100;Innere Stadt;ÖVP;Österreichische Volkspartei;2;1617;17;1600;447;4
NR2008;0100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;3;1617;17;1600;395;4
NR2008;0100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;4;1617;17;1600;183;4
NR2008;0100;Innere Stadt;BZÖ;BZÖ-Mag. Ewald Stadler;5;1617;17;1600;161;4
NR2008;0100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;6;1617;17;1600;57;4
NR2008;0100;Innere Stadt;RETTÖ;Unabhängige Bürgerinitiative Rettet Österreich;7;1617;17;1600;7;4
NR2008;0100;Innere Stadt;LIF;Liberales Forum;8;1617;17;1600;63;4
NR2008;0100;Innere Stadt;DC;Die Christen;9;1617;17;1600;11;4
NR2008;0100;Innere Stadt;FRITZ;Bürgerforum Österreich Liste Fritz Dinkhauser;10;1617;17;1600;28;4
NR2008;0200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;1;7075;100;6975;1051;15
NR2008;0200;St Leonhard;ÖVP;Österreichische Volkspartei;2;7075;100;6975;1862;15
NR2008;0200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;3;7075;100;6975;2012;15
NR2008;0200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;4;7075;100;6975;678;15
NR2008;0200;St Leonhard;BZÖ;BZÖ-Mag. Ewald Stadler;5;7075;100;6975;637;15
NR2008;0200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;6;7075;100;6975;158;15
NR2008;0200;St Leonhard;RETTÖ;Unabhängige Bürgerinitiative Rettet Österreich;7;7075;100;6975;49;15
NR2008;0200;St Leonhard;LIF;Liberales Forum;8;7075;100;6975;358;15
NR2008;0200;St Leonhard;DC;Die Christen;9;7075;100;6975;56;15
NR2008;0200;St Leonhard;FRITZ;Bürgerforum Österreich Liste Fritz Dinkhauser;10;7075;100;6975;114;15
NR2008;0300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;1;10752;156;10596;1700;24
NR2008;0300;Geidorf;ÖVP;Österreichische Volkspartei;2;10752;156;10596;3023;24
NR2008;0300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;3;10752;156;10596;2763;24
NR2008;0300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;4;10752;156;10596;1067;24
NR2008;0300;Geidorf;BZÖ;BZÖ-Mag. Ewald Stadler;5;10752;156;10596;1020;24
NR2008;0300;Geidorf;KPÖ;Kommunistische Partei Österreichs;6;10752;156;10596;181;24
NR2008;0300;Geidorf;RETTÖ;Unabhängige Bürgerinitiative Rettet Österreich;7;10752;156;10596;59;24
NR2008;0300;Geidorf;LIF;Liberales Forum;8;10752;156;10596;536;24
NR2008;0300;Geidorf;DC;Die Christen;9;10752;156;10596;81;24
NR2008;0300;Geidorf;FRITZ;Bürgerforum Österreich Liste Fritz Dinkhauser;10;10752;156;10596;166;24
NR2008;0400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;1;10447;109;10338;3063;26
NR2008;0400;Lend;ÖVP;Österreichische Volkspartei;2;10447;109;10338;1546;26
NR2008;0400;Lend;GRÜNE;Die Grünen - Die Grüne Alternative;3;10447;109;10338;1692;26
NR2008;0400;Lend;FPÖ;Freiheitliche Partei Österreichs;4;10447;109;10338;1967;26
NR2008;0400;Lend;BZÖ;BZÖ-Mag. Ewald Stadler;5;10447;109;10338;1284;26
NR2008;0400;Lend;KPÖ;Kommunistische Partei Österreichs;6;10447;109;10338;265;26
