wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
LT2010;0800;St.Peter;CPÖ;Christliche Partei Österreichs;8;6307;94;6213;56;15
LT2010;0900;Waltendorf;SPÖ;Sozialdemokratische Partei Österreichs;1;5323;84;5239;1246;13
LT2010;0900;Waltendorf;ÖVP;Österreichische Volkspartei;2;5323;84;5239;2050;13
LT2010;0900;Waltendorf;KPÖ;Kommunistische Partei Österreichs;3;5323;84;5239;437;13
LT2010;0900;Waltendorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;5323;84;5239;829;13
LT2010;0900;Waltendorf;FPÖ;Freiheitliche Partei Österreichs;5;5323;84;5239;475;13
LT2010;0900;Waltendorf;BZÖ;Bündnis Zukunft Österreich;6;5323;84;5239;152;13
LT2010;0900;Waltendorf;CPÖ;Christliche Partei Österreichs;8;5323;84;5239;50;13
LT2010;1000;Ries;SPÖ;Sozialdemokratische Partei Österreichs;1;2502;42;2460;682;7
LT2010;1000;Ries;ÖVP;Österreichische Volkspartei;2;2502;42;2460;871;7
LT2010;1000;Ries;KPÖ;Kommunistische Partei Österreichs;3;2502;42;2460;220;7
LT2010;1000;Ries;GRÜNE;Die Grünen - Die Grüne Alternative;4;2502;42;2460;333;7
LT2010;1000;Ries;FPÖ;Freiheitliche Partei Österreichs;5;2502;42;2460;241;7
LT2010;1000;Ries;BZÖ;Bündnis Zukunft Österreich;6;2502;42;2460;83;7
LT2010;1000;Ries;CPÖ;Christliche Partei Österreichs;8;2502;42;2460;30;7
LT2010;1100;Mariatrost;SPÖ;Sozialdemokratische Partei Österreichs;1;3888;78;3810;829;9
LT2010;1100;Mariatrost;ÖVP;Österreichische Volkspartei;2;3888;78;3810;1576;9
LT2010;1100;Mariatrost;KPÖ;Kommunistische Partei Österreichs;3;3888;78;3810;308;9
LT2010;1100;Mariatrost;GRÜNE;Die Grünen - Die Grüne Alternative;4;3888;78;3810;605;9
LT2010;1100;Mariatrost;FPÖ;Freiheitliche Partei Österreichs;5;3888;78;3810;312;9
LT2010;1100;Mariatrost;BZÖ;Bündnis Zukunft Österreich;6;3888;78;3810;140;9
LT2010;1100;Mariatrost;CPÖ;Christliche Partei Österreichs;8;3888;78;3810;40;9
LT2010;1200;Andritz;SPÖ;Sozialdemokratische Partei Österreichs;1;8216;134;8082;2624;19
LT2010;1200;Andritz;ÖVP;Österreichische Volkspartei;2;8216;134;8082;2526;19
LT2010;1200;Andritz;KPÖ;Kommunistische Partei Österreichs;3;8216;134;8082;660;19
LT2010;1200;Andritz;GRÜNE;Die Grünen - Die Grüne Alternative;4;8216;134;8082;1076;19
LT2010;1200;Andritz;FPÖ;Freiheitliche Partei Österreichs;5;8216;134;8082;863;19
LT2010;1200;Andritz;BZÖ;Bündnis Zukunft Österreich;6;8216;134;8082;231;19
LT2010;1200;Andritz;CPÖ;Christliche Partei Österreichs;8;8216;134;8082;102;19
LT2010;1300;Gösting;SPÖ;Sozialdemokratische Partei Österreichs;1;3823;42;3781;1373;12
LT2010;1300;Gösting;ÖVP;Österreichische Volkspartei;2;3823;42;3781;937;12
LT2010;1300;Gösting;KPÖ;Kommunistische Partei Österreichs;3;3823;42;3781;314;12
LT2010;1300;Gösting;GRÜNE;Die Grünen - Die Grüne Alternative;4;3823;42;3781;295;12
LT2010;1300;Gösting;FPÖ;Freiheitliche Partei Österreichs;5;3823;42;3781;629;12
LT2010;1300;Gösting;BZÖ;Bündnis Zukunft Österreich;6;3823;42;3781;203;12
LT2010;1300;Gösting;CPÖ;Christliche Partei Österreichs;8;3823;42;3781;30;12
LT2010;1400;Eggenberg;SPÖ;Sozialdemokratische Partei Österreichs;1;6758;54;6704;2305;19
LT2010;1400;Eggenberg;ÖVP;Österreichische Volkspartei;2;6758;54;6704;1640;19
LT2010;1400;Eggenberg;KPÖ;Kommunistische Partei Österreichs;3;6758;54;6704;647;19
LT2010;1400;Eggenberg;GRÜNE;Die Grünen - Die Grüne Alternative;4;6758;54;6704;657;19
LT2010;1400;Eggenberg;FPÖ;Freiheitliche Partei Österreichs;5;6758;54;6704;1120;19
LT2010;1400;Eggenberg;BZÖ;Bündnis Zukunft Österreich;6;6758;54;6704;273;19
LT2010;1400;Eggenberg;CPÖ;Christliche Partei Österreichs;8;6758;54;6704;62;19
LT2010;1500;Wetzelsdorf;SPÖ;Sozialdemokratische Partei Österreichs;1;5503;55;5448;2162;15
LT2010;1500;Wetzelsdorf;ÖVP;Österreichische Volkspartei;2;5503;55;5448;1257;15
LT2010;1500;Wetzelsdorf;KPÖ;Kommunistische Partei Österreichs;3;5503;55;5448;515;15
LT2010;1500;Wetzelsdorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;5503;55;5448;364;15
LT2010;1500;Wetzelsdorf;FPÖ;Freiheitliche Partei Österreichs;5;5503;55;5448;854;15
LT2010;1500;Wetzelsdorf;BZÖ;Bündnis Zukunft Österreich;6;5503;55;5448;255;15
LT2010;1500;Wetzelsdorf;CPÖ;Christliche Partei Österreichs;8;5503;55;5448;41;15
LT2010;1600;Straßgang;SPÖ;Sozialdemokratische Partei Österreichs;1;5574;75;5499;2064;14
LT2010;1600;Straßgang;ÖVP;Österreichische Volkspartei;2;5574;75;5499;1454;14
LT2010;1600;Straßgang;KPÖ;Kommunistische Partei Österreichs;3;5574;75;5499;410;14
LT2010;1600;Straßgang;GRÜNE;Die Grünen - Die Grüne Alternative;4;5574;75;5499;371;14
LT2010;1600;Straßgang;FPÖ;Freiheitliche Partei Österreichs;5;5574;75;5499;893;14
LT2010;1600;Straßgang;BZÖ;Bündnis Zukunft Österreich;6;5574;75;5499;240;14
LT2010;1600;Straßgang;CPÖ;Christliche Partei Österreichs;8;5574;75;5499;67;14
LT2010;1700;Puntigam;SPÖ;Sozialdemokratische Partei Österreichs;1;2590;28;2562;891;7
LT2010;1700;Puntigam;ÖVP;Österreichische Volkspartei;2;2590;28;2562;607;7
LT2010;1700;Puntigam;KPÖ;Kommunistische Partei Österreichs;3;2590;28;2562;192;7
LT2010;1700;Puntigam;GRÜNE;Die Grünen - Die Grüne Alternative;4;2590;28;2562;196;7
LT2010;1700;Puntigam;FPÖ;Freiheitliche Partei Österreichs;5;2590;28;2562;488;7
LT2010;1700;Puntigam;BZÖ;Bündnis Zukunft Österreich;6;2590;28;2562;155;7
LT2010;1700;Puntigam;CPÖ;Christliche Partei Österreichs;8;2590;28;2562;33;7
LT2010;2800;Wahlkarten - Wahllokale;SPÖ;Sozialdemokratische Partei Österreichs;1;7619;88;7531;2284;3
LT2010;2800;Wahlkarten - Wahllokale;ÖVP;Österreichische Volkspartei;2;7619;88;7531;2643;3
LT2010;2800;Wahlkarten - Wahllokale;KPÖ;Kommunistische Partei Österreichs;3;7619;88;7531;618;3
LT2010;2800;Wahlkarten - Wahllokale;GRÜNE;Die Grünen - Die Grüne Alternative;4;7619;88;7531;1068;3
LT2010;2800;Wahlkarten - Wahllokale;FPÖ;Freiheitliche Partei Österreichs;5;7619;88;7531;647;3
LT2010;2800;Wahlkarten - Wahllokale;BZÖ;Bündnis Zukunft Österreich;6;7619;88;7531;211;3
LT2010;2800;Wahlkarten - Wahllokale;CPÖ;Christliche Partei Österreichs;8;7619;88;7531;60;3
