wkurz;sprengel;wahlbe_gesamt;wahlbe_mann;wahlbe_frau
GRGRAZ12;1102;824;384;440
GRGRAZ12;1103;748;361;387
GRGRAZ12;1104;734;334;400
GRGRAZ12;1105;837;404;433
GRGRAZ12;1106;886;424;462
GRGRAZ12;1107;713;325;388
GRGRAZ12;1108;869;426;443
GRGRAZ12;1109;1075;517;558
GRGRAZ12;1201;751;352;399
GRGRAZ12;1202;712;338;374
GRGRAZ12;1203;828;372;456
GRGRAZ12;1204;1085;512;573
GRGRAZ12;1205;757;365;392
GRGRAZ12;1206;716;331;385
GRGRAZ12;1207;805;370;435
GRGRAZ12;1208;717;322;395
GRGRAZ12;1209;770;382;388
GRGRAZ12;1210;798;372;426
GRGRAZ12;1211;772;346;426
GRGRAZ12;1212;770;374;396
GRGRAZ12;1213;778;377;401
GRGRAZ12;1214;738;333;405
GRGRAZ12;1215;790;366;424
GRGRAZ12;1216;807;397;410
GRGRAZ12;1217;830;408;422
GRGRAZ12;1218;815;382;433
GRGRAZ12;1219;730;365;365
GRGRAZ12;1301;850;382;468
GRGRAZ12;1302;779;385;394
GRGRAZ12;1303;648;329;319
GRGRAZ12;1304;650;301;349
GRGRAZ12;1305;635;287;348
GRGRAZ12;1306;601;266;335
GRGRAZ12;1307;562;251;311
GRGRAZ12;1308;719;336;383
GRGRAZ12;1309;635;293;342
GRGRAZ12;1310;788;399;389
GRGRAZ12;1311;628;314;314
GRGRAZ12;1312;331;164;167
GRGRAZ12;1401;828;407;421
GRGRAZ12;1402;934;437;497
GRGRAZ12;1403;648;301;347
GRGRAZ12;1404;720;336;384
GRGRAZ12;1405;927;446;481
GRGRAZ12;1406;703;346;357
GRGRAZ12;1407;695;308;387
GRGRAZ12;1408;792;377;415
GRGRAZ12;1409;785;379;406
GRGRAZ12;1410;1027;432;595
GRGRAZ12;1411;795;359;436
GRGRAZ12;1412;680;316;364
GRGRAZ12;1413;776;351;425
GRGRAZ12;1414;705;304;401
GRGRAZ12;1415;737;339;398
GRGRAZ12;1416;749;366;383
GRGRAZ12;1417;630;293;337
GRGRAZ12;1418;681;296;385
GRGRAZ12;1419;788;355;433
GRGRAZ12;1501;867;383;484
GRGRAZ12;1502;850;398;452
GRGRAZ12;1503;751;338;413
GRGRAZ12;1504;630;271;359
GRGRAZ12;1505;909;420;489
GRGRAZ12;1506;801;349;452
GRGRAZ12;1507;737;340;397
GRGRAZ12;1508;697;328;369
GRGRAZ12;1509;633;297;336
GRGRAZ12;1510;623;272;351
GRGRAZ12;1511;643;300;343
GRGRAZ12;1512;1010;462;548
GRGRAZ12;1513;768;342;426
GRGRAZ12;1514;787;330;457
GRGRAZ12;1515;725;346;379
GRGRAZ12;1516;116;24;92
GRGRAZ12;1601;848;448;400
GRGRAZ12;1602;768;390;378
GRGRAZ12;1603;893;438;455
GRGRAZ12;1604;720;348;372
GRGRAZ12;1605;703;347;356
GRGRAZ12;1606;696;326;370
GRGRAZ12;1607;670;304;366
GRGRAZ12;1608;600;268;332
GRGRAZ12;1609;946;453;493
GRGRAZ12;1610;920;428;492
GRGRAZ12;1611;994;488;506
GRGRAZ12;1612;846;377;469
GRGRAZ12;1613;782;359;423
GRGRAZ12;1614;893;449;444
GRGRAZ12;1701;785;389;396
GRGRAZ12;1702;810;408;402
GRGRAZ12;1703;711;326;385
GRGRAZ12;1704;1004;486;518
GRGRAZ12;1705;719;392;327
GRGRAZ12;1706;770;376;394
GRGRAZ12;1707;785;371;414
GRGRAZ12;2798;0;0;0
GRGRAZ12;2799;0;0;0
