"";"numParish";"numDistrict";"authAll";"authMen";"authWomen";"authMenRel";"authWomenRel"
"97";604;6;802;396;406;49,3765586034913;50,6234413965087
"98";605;6;819;415;404;50,6715506715507;49,3284493284493
"99";606;6;868;421;447;48,5023041474654;51,4976958525346
"100";607;6;928;456;472;49,1379310344828;50,8620689655172
"101";608;6;859;437;422;50,8731082654249;49,1268917345751
"102";609;6;836;396;440;47,3684210526316;52,6315789473684
"103";610;6;716;351;365;49,0223463687151;50,9776536312849
"104";611;6;949;497;452;52,3709167544784;47,6290832455216
"105";612;6;760;382;378;50,2631578947368;49,7368421052632
"106";613;6;802;369;433;46,0099750623441;53,9900249376559
"107";614;6;845;432;413;51,1242603550296;48,8757396449704
"108";615;6;973;473;500;48,6125385405961;51,3874614594039
"109";616;6;854;424;430;49,6487119437939;50,3512880562061
"110";617;6;854;418;436;48,9461358313817;51,0538641686183
"111";618;6;988;501;487;50,7085020242915;49,2914979757085
"112";619;6;776;346;430;44,5876288659794;55,4123711340206
"113";620;6;783;386;397;49,2975734355045;50,7024265644955
"114";621;6;671;314;357;46,795827123696;53,204172876304
"115";622;6;686;322;364;46,9387755102041;53,0612244897959
"116";623;6;957;459;498;47,9623824451411;52,0376175548589
"117";624;6;607;291;316;47,9406919275124;52,0593080724876
"118";625;6;598;268;330;44,8160535117057;55,1839464882943
"119";626;6;763;340;423;44,5609436435125;55,4390563564875
"120";627;6;664;338;326;50,9036144578313;49,0963855421687
"121";628;6;649;282;367;43,4514637904468;56,5485362095532
"122";629;6;546;269;277;49,2673992673993;50,7326007326007
"123";630;6;756;345;411;45,6349206349206;54,3650793650794
"124";631;6;669;288;381;43,0493273542601;56,9506726457399
"125";701;7;653;290;363;44,4104134762634;55,5895865237366
"126";702;7;642;293;349;45,6386292834891;54,3613707165109
"127";703;7;765;353;412;46,1437908496732;53,8562091503268
"128";704;7;701;352;349;50,2139800285307;49,7860199714693
"129";705;7;862;421;441;48,8399071925754;51,1600928074246
"130";706;7;964;458;506;47,5103734439834;52,4896265560166
"131";707;7;782;396;386;50,6393861892583;49,3606138107417
"132";708;7;745;344;401;46,1744966442953;53,8255033557047
"133";709;7;634;303;331;47,7917981072555;52,2082018927445
"134";710;7;751;361;390;48,069241011984;51,930758988016
"135";711;7;704;358;346;50,8522727272727;49,1477272727273
"136";712;7;695;329;366;47,3381294964029;52,6618705035971
"137";713;7;764;350;414;45,8115183246073;54,1884816753927
"138";714;7;690;328;362;47,536231884058;52,463768115942
"139";801;8;797;357;440;44,792973651192;55,207026348808
"140";802;8;634;294;340;46,3722397476341;53,6277602523659
"141";803;8;781;365;416;46,7349551856594;53,2650448143406
"142";804;8;749;331;418;44,1922563417891;55,807743658211
"143";805;8;749;343;406;45,7943925233645;54,2056074766355
"144";806;8;792;393;399;49,6212121212121;50,3787878787879
"145";807;8;711;342;369;48,1012658227848;51,8987341772152
"146";808;8;759;358;401;47,167325428195;52,832674571805
"147";809;8;767;354;413;46,1538461538462;53,8461538461538
"148";810;8;788;366;422;46,4467005076142;53,5532994923858
"149";811;8;831;381;450;45,8483754512635;54,1516245487365
"150";812;8;792;383;409;48,3585858585859;51,6414141414141
"151";813;8;999;480;519;48,048048048048;51,9519519519519
"152";814;8;845;405;440;47,9289940828402;52,0710059171598
"153";815;8;965;443;522;45,9067357512953;54,0932642487047
"154";816;8;81;20;61;24,6913580246914;75,3086419753086
"155";901;9;820;357;463;43,5365853658537;56,4634146341463
"156";902;9;866;405;461;46,7667436489607;53,2332563510393
"157";903;9;857;407;450;47,4912485414236;52,5087514585764
"158";904;9;706;327;379;46,3172804532578;53,6827195467422
"159";905;9;719;327;392;45,4798331015299;54,5201668984701
"160";906;9;798;378;420;47,3684210526316;52,6315789473684
"161";907;9;784;365;419;46,5561224489796;53,4438775510204
"162";908;9;739;349;390;47,2259810554804;52,7740189445196
"163";909;9;714;329;385;46,078431372549;53,921568627451
"164";910;9;702;332;370;47,2934472934473;52,7065527065527
"165";911;9;812;407;405;50,1231527093596;49,8768472906404
"166";912;9;719;334;385;46,4534075104312;53,5465924895688
"167";913;9;628;279;349;44,4267515923567;55,5732484076433
"168";1001;10;733;290;443;39,5634379263302;60,4365620736699
"169";1002;10;691;308;383;44,5730824891462;55,4269175108538
"170";1003;10;688;312;376;45,3488372093023;54,6511627906977
"171";1004;10;674;317;357;47,0326409495549;52,9673590504451
"172";1005;10;674;300;374;44,5103857566766;55,4896142433234
"173";1006;10;675;326;349;48,2962962962963;51,7037037037037
"174";1007;10;673;335;338;49,777117384844;50,222882615156
"175";1101;11;754;334;420;44,2970822281167;55,7029177718833
"176";1102;11;824;384;440;46,6019417475728;53,3980582524272
"177";1103;11;748;361;387;48,2620320855615;51,7379679144385
"178";1104;11;734;334;400;45,5040871934605;54,4959128065395
"179";1105;11;837;404;433;48,2676224611709;51,7323775388292
"180";1106;11;886;424;462;47,8555304740406;52,1444695259594
"181";1107;11;713;325;388;45,5820476858345;54,4179523141655
"182";1108;11;869;426;443;49,0218642117376;50,9781357882624
"183";1109;11;1075;517;558;48,093023255814;51,9069767441861
"184";1201;12;751;352;399;46,8708388814913;53,1291611185086
"185";1202;12;712;338;374;47,4719101123596;52,5280898876404
"186";1203;12;828;372;456;44,9275362318841;55,0724637681159
"187";1204;12;1085;512;573;47,1889400921659;52,8110599078341
"188";1205;12;757;365;392;48,2166446499339;51,7833553500661
"189";1206;12;716;331;385;46,2290502793296;53,7709497206704
"190";1207;12;805;370;435;45,9627329192547;54,0372670807453
"191";1208;12;717;322;395;44,9093444909345;55,0906555090656
"192";1209;12;770;382;388;49,6103896103896;50,3896103896104
"193";1210;12;798;372;426;46,6165413533835;53,3834586466165
"194";1211;12;772;346;426;44,8186528497409;55,1813471502591
"195";1212;12;770;374;396;48,5714285714286;51,4285714285714
"196";1213;12;778;377;401;48,4575835475578;51,5424164524422
"197";1214;12;738;333;405;45,1219512195122;54,8780487804878
"198";1215;12;790;366;424;46,3291139240506;53,6708860759494
"199";1216;12;807;397;410;49,1945477075589;50,8054522924411
"200";1217;12;830;408;422;49,1566265060241;50,8433734939759
"201";1218;12;815;382;433;46,8711656441718;53,1288343558282
"202";1219;12;730;365;365;50;50
